id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1284590,167524,1214,0.158,0,40.0,,,,,
1284591,167524,1216,0.094,0,40.0,,,,,
1284592,167524,1219,0.224,0,40.0,,,,,
1284593,167524,1220,0.22,0,40.0,,,,,
1284594,167524,1221,0.103,0,40.0,,,,,
1284595,167524,1223,0.285,0,40.0,,,,,
1284596,167524,1227,0.248,0,40.0,,,,,
1284597,167524,1242,0.0,0,40.0,,,,,
1284598,167524,1167,5.7,0,47.0,,,,,
1284599,167524,1175,0.57,0,47.0,,,,,
1284600,167524,1292,2.564,0,49.0,,,,,
1284601,167524,1293,3.272,0,49.0,,,,,
1284602,167524,1299,0.0,0,40.0,,,,,
1284603,167525,1079,5.8,3,1.0,5.5,6.2,,,
1284604,167525,1089,1.53,3,1.0,1.3,1.9,,,
1284605,167525,1090,76.0,3,1.0,68.0,84.0,,,
1284606,167525,1091,203.0,3,1.0,170.0,230.0,,,
1284607,167525,1093,657.0,3,1.0,570.0,710.0,,,
1284608,167525,1098,0.148,3,1.0,0.148,0.148,,,
1284609,167525,1101,0.363,3,1.0,0.35,0.39,,,
1284610,167525,1165,0.353,3,1.0,0.279,0.401,,,
1284611,167525,1166,0.094,3,1.0,0.074,0.11,,,
1284612,167525,1257,0.163,0,49.0,,,,,
1284613,167525,1258,7.011,0,49.0,,,,,
1284614,167525,1261,0.014,3,1.0,0.011,0.016,,,
1284615,167525,1263,0.029,3,1.0,0.0,0.066,,,
1284616,167525,1264,0.132,3,1.0,0.0,0.209,,,
1284617,167525,1273,0.026,3,1.0,0.019,0.035,,,
1284618,167525,1274,0.0,3,1.0,0.0,0.0,,,
1284619,167525,1275,0.054,3,1.0,0.02,0.103,,,
1284620,167525,1300,0.021,3,1.0,0.014,0.027,,,
1284621,167525,1323,0.0,3,1.0,0.0,0.0,,,
1284622,167525,1329,0.032,0,49.0,,,,,
1284623,167525,1333,0.0,3,1.0,0.0,0.0,,,
1284624,167525,1404,0.124,3,1.0,0.083,0.178,,,
1284625,167525,1003,6.15,3,1.0,4.31,7.12,,,
1284626,167525,1007,2.72,3,1.0,2.6,2.79,,,
1284627,167525,1009,55.4,3,1.0,52.9,59.7,,,
1284628,167525,1004,23.38,3,1.0,19.74,26.35,,,
1284629,167525,1005,64.43,0,49.0,,,,,
1284630,167525,1008,474.0,2,44.0,450.0,497.0,,,
1284631,167525,1051,3.32,3,1.0,3.03,3.72,,,
1284632,167525,1087,76.0,3,1.0,67.0,94.0,,,
1284633,167525,1092,237.0,3,1.0,220.0,250.0,,,
1284634,167525,1095,1.23,3,1.0,1.1,1.4,,,
1284635,167525,1103,2.2,3,1.0,2.2,2.2,,,
1284636,167525,1167,1.553,3,1.0,1.36,1.77,,,
1284637,167525,1170,0.191,3,1.0,0.179,0.201,,,
1284638,167525,1175,0.363,3,1.0,0.314,0.399,,,
1284639,167525,1262,0.0,3,1.0,0.0,0.0,,,
1284640,167525,1265,5.967,3,1.0,2.257,8.62,,,
1284641,167525,1266,0.729,3,1.0,0.368,0.951,,,
1284642,167525,1267,0.088,3,1.0,0.077,0.093,,,
1284643,167525,1268,7.086,3,1.0,5.059,9.394,,,
1284644,167525,1269,8.025,3,1.0,3.699,10.483,,,
1284645,167525,1270,0.124,3,,0.083,0.178,,,
1284646,167525,1271,0.0,3,1.0,0.0,0.0,,,
1284647,167525,1277,0.046,3,1.0,0.043,0.048,,,
1284648,167525,1292,7.217,0,49.0,,,,,
1284649,167525,1293,8.285,0,49.0,,,,,
1284650,167525,1299,0.006,3,1.0,0.0,0.01,,,
1284651,167525,1304,0.032,3,1.0,0.022,0.041,,,
1284652,167525,1310,0.131,3,1.0,0.051,0.271,,,
1284653,167525,1313,0.005,3,1.0,0.0,0.009,,,
1284654,167525,1321,0.0,3,1.0,0.0,0.0,,,
1284655,167525,1325,0.0,3,1.0,0.0,0.0,,,
1284656,167525,1331,0.131,0,49.0,,,,,
1284657,167525,1062,1983.0,2,44.0,,,,,
1285240,167532,1004,2.15,2,1.0,2.1,2.2,,,
1285241,167532,1005,43.91,0,49.0,,,,,
1285242,167532,1008,238.0,0,49.0,,,,,
1285243,167532,1010,0.0,2,1.0,0.0,0.0,,,
1285244,167532,1011,1.5,2,1.0,1.3,1.7,,,
1285245,167532,1014,0.8,2,1.0,0.7,0.9,,,
1285246,167532,1051,39.6,2,1.0,38.8,40.4,,,
1285247,167532,1057,0.0,0,40.0,,,,,
1285248,167532,1058,0.0,0,40.0,,,,,
1285249,167532,2000,5.0,2,1.0,4.5,5.5,,,
1285250,167532,1087,684.0,2,1.0,672.0,696.0,,,
1285251,167532,1092,127.0,2,1.0,125.0,129.0,,,
1285252,167532,1095,0.95,2,1.0,0.93,0.97,,,
1285253,167532,1103,16.1,2,1.0,15.0,17.1,,,
1285254,167532,1109,0.38,0,40.0,,,,,
1285255,167532,1110,0.0,0,40.0,,,,,
1285256,167532,1123,25.0,0,40.0,,,,,
1285257,167532,1167,4.455,2,1.0,4.3,4.61,,,
1285258,167532,1170,0.455,2,1.0,0.43,0.48,,,
1285259,167532,1175,0.08,2,1.0,0.076,0.085,,,
1285260,167532,1180,8.1,0,40.0,,,,,
1285261,167532,1186,49.0,0,40.0,,,,,
1285262,167532,1190,162.0,0,49.0,,,,,
1285263,167532,1198,0.0,0,40.0,,,,,
1285264,167532,1242,0.0,0,40.0,,,,,
1285265,167532,1259,0.002,2,1.0,0.002,0.002,,,
1285266,167532,1260,0.0,2,1.0,0.0,0.0,,,
1285267,167532,1262,0.004,2,1.0,0.004,0.005,,,
1285268,167532,1265,0.324,2,1.0,0.324,0.325,,,
1285269,167532,1266,0.251,2,1.0,0.235,0.268,,,
1285270,167532,1267,0.005,2,1.0,0.005,0.005,,,
1285271,167532,1268,0.366,0,,,,,,
1285272,167532,1269,0.879,0,,,,,,
1285273,167532,1270,0.083,0,,,,,,
1285274,167532,1271,0.002,2,1.0,0.001,0.002,,,
1285275,167532,1276,0.0,2,1.0,0.0,0.0,,,
1285276,167532,1277,0.01,2,1.0,0.008,0.012,,,
1285277,167532,1279,0.0,0,,,,,,
1285278,167532,1292,0.393,0,49.0,,,,,
1285279,167532,1293,0.973,0,49.0,,,,,
1285280,167532,1299,0.003,2,1.0,0.003,0.003,,,
1285281,167532,1304,0.027,2,1.0,0.02,0.034,,,
1285282,167532,1305,0.0,2,1.0,0.0,0.0,,,
